rime_group,initial,base,tone1,tone2,tone3,tone4,tone5,tone7,tone8,tone9,tone1_num,tone2_num,tone3_num,tone4_num,tone5_num,tone7_num,tone8_num,tone9_num
ing,t,ting,ting,tíng,tìng,,tîng,tīng,,ti̋ng,ting1,ting2,ting3,,ting5,ting7,,ting9
ing,th,thing,thing,thíng,thìng,,thîng,thīng,,thi̋ng,thing1,thing2,thing3,,thing5,thing7,,thing9
ing,ts,tsing,tsing,tsíng,tsìng,,tsîng,tsīng,,tsi̋ng,tsing1,tsing2,tsing3,,tsing5,tsing7,,tsing9
ing,tsh,tshing,tshing,tshíng,tshìng,,tshîng,tshīng,,tshi̋ng,tshing1,tshing2,tshing3,,tshing5,tshing7,,tshing9
inn,,inn,inn,ínn,ìnn,,înn,īnn,,i̋nn,inn1,inn2,inn3,,inn5,inn7,,inn9
inn,b,binn,binn,bínn,bìnn,,bînn,bīnn,,bi̋nn,binn1,binn2,binn3,,binn5,binn7,,binn9
inn,g,ginn,ginn,gínn,gìnn,,gînn,gīnn,,gi̋nn,ginn1,ginn2,ginn3,,ginn5,ginn7,,ginn9
inn,h,hinn,hinn,hínn,hìnn,,hînn,hīnn,,hi̋nn,hinn1,hinn2,hinn3,,hinn5,hinn7,,hinn9
inn,j,jinn,jinn,jínn,jìnn,,jînn,jīnn,,ji̋nn,jinn1,jinn2,jinn3,,jinn5,jinn7,,jinn9
inn,k,kinn,kinn,kínn,kìnn,,kînn,kīnn,,ki̋nn,kinn1,kinn2,kinn3,,kinn5,kinn7,,kinn9
inn,kh,khinn,khinn,khínn,khìnn,,khînn,khīnn,,khi̋nn,khinn1,khinn2,khinn3,,khinn5,khinn7,,khinn9
inn,l,linn,linn,línn,lìnn,,lînn,līnn,,li̋nn,linn1,linn2,linn3,,linn5,linn7,,linn9
inn,m,minn,minn,mínn,mìnn,,mînn,mīnn,,mi̋nn,minn1,minn2,minn3,,minn5,minn7,,minn9
inn,n,ninn,ninn,nínn,nìnn,,nînn,nīnn,,ni̋nn,ninn1,ninn2,ninn3,,ninn5,ninn7,,ninn9
inn,ng,nginn,nginn,ngínn,ngìnn,,ngînn,ngīnn,,ngi̋nn,nginn1,nginn2,nginn3,,nginn5,nginn7,,nginn9
inn,p,pinn,pinn,pínn,pìnn,,pînn,pīnn,,pi̋nn,pinn1,pinn2,pinn3,,pinn5,pinn7,,pinn9
inn,ph,phinn,phinn,phínn,phìnn,,phînn,phīnn,,phi̋nn,phinn1,phinn2,phinn3,,phinn5,phinn7,,phinn9
inn,s,sinn,sinn,sínn,sìnn,,sînn,sīnn,,si̋nn,sinn1,sinn2,sinn3,,sinn5,sinn7,,sinn9
inn,t,tinn,tinn,tínn,tìnn,,tînn,tīnn,,ti̋nn,tinn1,tinn2,tinn3,,tinn5,tinn7,,tinn9
inn,th,thinn,thinn,thínn,thìnn,,thînn,thīnn,,thi̋nn,thinn1,thinn2,thinn3,,thinn5,thinn7,,thinn9
inn,ts,tsinn,tsinn,tsínn,tsìnn,,tsînn,tsīnn,,tsi̋nn,tsinn1,tsinn2,tsinn3,,tsinn5,tsinn7,,tsinn9
inn,tsh,tshinn,tshinn,tshínn,tshìnn,,tshînn,tshīnn,,tshi̋nn,tshinn1,tshinn2,tshinn3,,tshinn5,tshinn7,,tshinn9
innh,,innh,innh,ínnh,ìnnh,innh,înnh,īnnh,i̍nnh,i̋nnh,innh1,innh2,innh3,innh4,innh5,innh7,innh8,innh9
innh,b,binnh,binnh,bínnh,bìnnh,binnh,bînnh,bīnnh,bi̍nnh,bi̋nnh,binnh1,binnh2,binnh3,binnh4,binnh5,binnh7,binnh8,binnh9
innh,g,ginnh,ginnh,gínnh,gìnnh,ginnh,gînnh,gīnnh,gi̍nnh,gi̋nnh,ginnh1,ginnh2,ginnh3,ginnh4,ginnh5,ginnh7,ginnh8,ginnh9
innh,h,hinnh,hinnh,hínnh,hìnnh,hinnh,hînnh,hīnnh,hi̍nnh,hi̋nnh,hinnh1,hinnh2,hinnh3,hinnh4,hinnh5,hinnh7,hinnh8,hinnh9
innh,j,jinnh,jinnh,jínnh,jìnnh,jinnh,jînnh,jīnnh,ji̍nnh,ji̋nnh,jinnh1,jinnh2,jinnh3,jinnh4,jinnh5,jinnh7,jinnh8,jinnh9
innh,k,kinnh,kinnh,kínnh,kìnnh,kinnh,kînnh,kīnnh,ki̍nnh,ki̋nnh,kinnh1,kinnh2,kinnh3,kinnh4,kinnh5,kinnh7,kinnh8,kinnh9
innh,kh,khinnh,khinnh,khínnh,khìnnh,khinnh,khînnh,khīnnh,khi̍nnh,khi̋nnh,khinnh1,khinnh2,khinnh3,khinnh4,khinnh5,khinnh7,khinnh8,khinnh9
innh,l,linnh,linnh,línnh,lìnnh,linnh,lînnh,līnnh,li̍nnh,li̋nnh,linnh1,linnh2,linnh3,linnh4,linnh5,linnh7,linnh8,linnh9
innh,m,minnh,minnh,mínnh,mìnnh,minnh,mînnh,mīnnh,mi̍nnh,mi̋nnh,minnh1,minnh2,minnh3,minnh4,minnh5,minnh7,minnh8,minnh9
innh,n,ninnh,ninnh,nínnh,nìnnh,ninnh,nînnh,nīnnh,ni̍nnh,ni̋nnh,ninnh1,ninnh2,ninnh3,ninnh4,ninnh5,ninnh7,ninnh8,ninnh9
innh,ng,nginnh,nginnh,ngínnh,ngìnnh,nginnh,ngînnh,ngīnnh,ngi̍nnh,ngi̋nnh,nginnh1,nginnh2,nginnh3,nginnh4,nginnh5,nginnh7,nginnh8,nginnh9
innh,p,pinnh,pinnh,pínnh,pìnnh,pinnh,pînnh,pīnnh,pi̍nnh,pi̋nnh,pinnh1,pinnh2,pinnh3,pinnh4,pinnh5,pinnh7,pinnh8,pinnh9
innh,ph,phinnh,phinnh,phínnh,phìnnh,phinnh,phînnh,phīnnh,phi̍nnh,phi̋nnh,phinnh1,phinnh2,phinnh3,phinnh4,phinnh5,phinnh7,phinnh8,phinnh9
innh,s,sinnh,sinnh,sínnh,sìnnh,sinnh,sînnh,sīnnh,si̍nnh,si̋nnh,sinnh1,sinnh2,sinnh3,sinnh4,sinnh5,sinnh7,sinnh8,sinnh9
innh,t,tinnh,tinnh,tínnh,tìnnh,tinnh,tînnh,tīnnh,ti̍nnh,ti̋nnh,tinnh1,tinnh2,tinnh3,tinnh4,tinnh5,tinnh7,tinnh8,tinnh9
innh,th,thinnh,thinnh,thínnh,thìnnh,thinnh,thînnh,thīnnh,thi̍nnh,thi̋nnh,thinnh1,thinnh2,thinnh3,thinnh4,thinnh5,thinnh7,thinnh8,thinnh9
innh,ts,tsinnh,tsinnh,tsínnh,tsìnnh,tsinnh,tsînnh,tsīnnh,tsi̍nnh,tsi̋nnh,tsinnh1,tsinnh2,tsinnh3,tsinnh4,tsinnh5,tsinnh7,tsinnh8,tsinnh9
innh,tsh,tshinnh,tshinnh,tshínnh,tshìnnh,tshinnh,tshînnh,tshīnnh,tshi̍nnh,tshi̋nnh,tshinnh1,tshinnh2,tshinnh3,tshinnh4,tshinnh5,tshinnh7,tshinnh8,tshinnh9
io,,io,io,ió,iò,,iô,iō,,iő,io1,io2,io3,,io5,io7,,io9
io,b,bio,bio,bió,biò,,biô,biō,,biő,bio1,bio2,bio3,,bio5,bio7,,bio9
io,g,gio,gio,gió,giò,,giô,giō,,giő,gio1,gio2,gio3,,gio5,gio7,,gio9
io,h,hio,hio,hió,hiò,,hiô,hiō,,hiő,hio1,hio2,hio3,,hio5,hio7,,hio9
io,j,jio,jio,jió,jiò,,jiô,jiō,,jiő,jio1,jio2,jio3,,jio5,jio7,,jio9
io,k,kio,kio,kió,kiò,,kiô,kiō,,kiő,kio1,kio2,kio3,,kio5,kio7,,kio9
io,kh,khio,khio,khió,khiò,,khiô,khiō,,khiő,khio1,khio2,khio3,,khio5,khio7,,khio9
io,l,lio,lio,lió,liò,,liô,liō,,liő,lio1,lio2,lio3,,lio5,lio7,,lio9
io,m,mio,mio,mió,miò,,miô,miō,,miő,mio1,mio2,mio3,,mio5,mio7,,mio9
io,n,nio,nio,nió,niò,,niô,niō,,niő,nio1,nio2,nio3,,nio5,nio7,,nio9
io,ng,ngio,ngio,ngió,ngiò,,ngiô,ngiō,,ngiő,ngio1,ngio2,ngio3,,ngio5,ngio7,,ngio9
io,p,pio,pio,pió,piò,,piô,piō,,piő,pio1,pio2,pio3,,pio5,pio7,,pio9
io,ph,phio,phio,phió,phiò,,phiô,phiō,,phiő,phio1,phio2,phio3,,phio5,phio7,,phio9
io,s,sio,sio,sió,siò,,siô,siō,,siő,sio1,sio2,sio3,,sio5,sio7,,sio9
io,t,tio,tio,tió,tiò,,tiô,tiō,,tiő,tio1,tio2,tio3,,tio5,tio7,,tio9
io,th,thio,thio,thió,thiò,,thiô,thiō,,thiő,thio1,thio2,thio3,,thio5,thio7,,thio9
io,ts,tsio,tsio,tsió,tsiò,,tsiô,tsiō,,tsiő,tsio1,tsio2,tsio3,,tsio5,tsio7,,tsio9
io,tsh,tshio,tshio,tshió,tshiò,,tshiô,tshiō,,tshiő,tshio1,tshio2,tshio3,,tshio5,tshio7,,tshio9
ioh,,ioh,ioh,ióh,iòh,ioh,iôh,iōh,io̍h,iőh,ioh1,ioh2,ioh3,ioh4,ioh5,ioh7,ioh8,ioh9
ioh,b,bioh,bioh,bióh,biòh,bioh,biôh,biōh,bio̍h,biőh,bioh1,bioh2,bioh3,bioh4,bioh5,bioh7,bioh8,bioh9
ioh,g,gioh,gioh,gióh,giòh,gioh,giôh,giōh,gio̍h,giőh,gioh1,gioh2,gioh3,gioh4,gioh5,gioh7,gioh8,gioh9
ioh,h,hioh,hioh,hióh,hiòh,hioh,hiôh,hiōh,hio̍h,hiőh,hioh1,hioh2,hioh3,hioh4,hioh5,hioh7,hioh8,hioh9
ioh,j,jioh,jioh,jióh,jiòh,jioh,jiôh,jiōh,jio̍h,jiőh,jioh1,jioh2,jioh3,jioh4,jioh5,jioh7,jioh8,jioh9
ioh,k,kioh,kioh,kióh,kiòh,kioh,kiôh,kiōh,kio̍h,kiőh,kioh1,kioh2,kioh3,kioh4,kioh5,kioh7,kioh8,kioh9
